fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,step,stored_timestamp
5080,2.6.2,2311083,193.0.14.129,4,193.0.14.129,192.168.2.200,ICMP,58.0,32,"[{'rtt': 18.142896}, {'rtt': 18.00017}, {'rtt': 18.182677}]",0,3,3,18.00017,18.182677,18.108581,1001,1000023,1789762078,Ping,159.146.31.90,ping,240,1789762158
5130,2.6.4,15,193.0.14.129,4,193.0.14.129,192.168.0.14,ICMP,,32,"[{'x': '*'}, {'x': '*'}, {'x': '*'}]",0,0,3,-1.0,-1.0,-1.0,1001,1000054,1789762079,Ping,2.60.190.26,ping,240,1789762117
5080,2.6.2,6,193.0.14.129,4,193.0.14.129,89.189.191.217,ICMP,52.0,32,"[{'rtt': 127.991804}, {'rtt': 128.234176}, {'rtt': 128.080866}]",0,3,3,127.991804,128.234176,128.10228199999997,1001,1000055,1789762071,Ping,89.189.191.217,ping,240,1789762121
5080,2.6.3,40,193.0.14.129,4,193.0.14.129,188.75.184.76,ICMP,56.0,32,"[{'rtt': 9.068513}, {'rtt': 9.13127}, {'rtt': 9.055403}]",0,3,3,9.055403,9.13127,9.085062,1001,1000069,1789762056,Ping,188.75.184.76,ping,240,1789762134
5080,2.6.3,31,193.0.14.129,4,193.0.14.129,10.50.84.12,ICMP,55.0,32,"[{'rtt': 10.556883}, {'rtt': 10.631461}, {'rtt': 8.730175}]",0,3,3,8.730175,10.631461,9.972839666666667,1001,1000088,1789762057,Ping,77.236.218.67,ping,240,1789762091
5000,2.2.0,22,193.0.14.129,4,193.0.14.129,147.78.245.129,ICMP,57.0,32,"[{'rtt': 1.239765}, {'rtt': 1.188809}, {'rtt': 1.288607}]",0,3,3,1.188809,1.288607,1.2390603333333334,1001,1000112,1789762072,Ping,147.78.245.129,ping,240,1789762105
5120,2.6.4,5,193.0.14.129,4,193.0.14.129,37.35.109.50,ICMP,60.0,32,"[{'rtt': 7.256345}, {'rtt': 7.067677}, {'rtt': 7.143921}]",0,3,3,7.067677,7.256345,7.155981,1001,1000155,1789762038,Ping,37.35.109.50,ping,240,1789762100
5080,2.6.2,4,193.0.14.129,4,193.0.14.129,133.130.99.208,ICMP,49.0,32,"[{'rtt': 231.506402}, {'rtt': 228.240287}, {'rtt': 228.322156}]",0,3,3,228.240287,231.506402,229.35628166666666,1001,1000167,1789762055,Ping,133.130.99.208,ping,240,1789762111
5120,2.6.4,15,193.0.14.129,4,193.0.14.129,172.27.0.2,ICMP,59.0,32,"[{'rtt': 17.976648}, {'rtt': 18.073866}, {'rtt': 19.294762}]",0,3,3,17.976648,19.294762,18.448425333333333,1001,1000173,1789762079,Ping,138.94.78.210,ping,240,1789762126
5080,2.6.2,30,193.0.14.129,4,193.0.14.129,172.17.0.2,ICMP,55.0,32,"[{'rtt': 4.8934}, {'rtt': 5.514603}, {'rtt': 4.52755}]",0,3,3,4.52755,5.514603,4.978517666666667,1001,1000178,1789762036,Ping,84.226.27.190,ping,240,1789762125
5130,2.6.4,45,193.0.14.129,4,193.0.14.129,192.168.117.202,ICMP,57.0,32,"[{'rtt': 4.585299}, {'rtt': 3.929002}, {'rtt': 3.612391}]",0,3,3,3.612391,4.585299,4.042230666666667,1001,1000179,1789762047,Ping,111.237.119.11,ping,240,1789762129
5010,2.2.0,64,193.0.14.129,4,193.0.14.129,10.69.88.200,ICMP,56.0,32,"[{'rtt': 60.783368}, {'rtt': 61.574201}, {'rtt': 68.388004}]",0,3,3,60.783368,68.388004,63.58185766666667,1001,1000280,1789762048,Ping,185.45.15.70,ping,240,1789762105
5130,2.6.4,24,193.0.14.129,4,193.0.14.129,172.22.153.195,ICMP,53.0,32,"[{'rtt': 21.747473}, {'rtt': 22.093844}, {'rtt': 21.592946}]",0,3,3,21.592946,22.093844,21.811421,1001,1000336,1789762066,Ping,213.240.178.141,ping,240,1789762095
5080,2.6.3,4,193.0.14.129,4,193.0.14.129,192.168.254.10,ICMP,55.0,32,"[{'rtt': 39.073056}, {'rtt': 39.65512}, {'rtt': 40.331792}]",0,3,3,39.073056,40.331792,39.686656,1001,1000339,1789762046,Ping,92.161.41.79,ping,240,1789762106
5010,2.2.0,40,193.0.14.129,4,193.0.14.129,192.168.200.200,ICMP,58.0,32,"[{'rtt': 3.080975}, {'rtt': 2.429929}, {'rtt': 3.970242}]",0,3,3,2.429929,3.970242,3.160382,1001,1000379,1789762052,Ping,14.186.74.89,ping,240,1789762081
5080,2.6.2,20,193.0.14.129,4,193.0.14.129,192.168.1.144,ICMP,58.0,20,"[{'rtt': 9.751112}, {'rtt': 8.258688}, {'rtt': 7.030482}]",0,3,3,7.030482,9.751112,8.346760666666666,1001,1000422,1789762032,Ping,95.93.139.60,ping,240,1789762134
5080,2.6.2,47,193.0.14.129,4,193.0.14.129,10.0.2.15,ICMP,64.0,32,"[{'rtt': 4.180355}, {'rtt': 4.651107}, {'rtt': 4.561717}]",0,3,3,4.180355,4.651107,4.464392999999999,1001,1000430,1789762057,Ping,193.126.135.99,ping,240,1789762133
5130,2.6.4,80,193.0.14.129,4,193.0.14.129,192.168.15.29,ICMP,60.0,32,"[{'rtt': 3.227687}, {'rtt': 3.212402}, {'rtt': 3.446545}]",0,3,3,3.212402,3.446545,3.295544666666667,1001,1000442,1789762037,Ping,149.143.112.119,ping,240,1789762082
5110,2.6.4,2,193.0.14.129,4,193.0.14.129,185.84.248.52,ICMP,58.0,32,"[{'rtt': 12.114035}, {'rtt': 11.595888}, {'rtt': 11.339542}]",0,3,3,11.339542,12.114035,11.683155,1001,1000455,1789762033,Ping,185.84.248.52,ping,240,1789762163
5080,2.6.3,31,193.0.14.129,4,193.0.14.129,77.109.187.102,ICMP,53.0,32,"[{'rtt': 6.228195}, {'rtt': 6.172629}, {'rtt': 6.170712}]",0,3,3,6.170712,6.228195,6.190512000000001,1001,1000463,1789762071,Ping,77.109.187.102,ping,240,1789762114
5130,2.6.4,67,193.0.14.129,4,193.0.14.129,172.28.4.233,ICMP,58.0,32,"[{'rtt': 80.375166}, {'rtt': 84.537741}, {'rtt': 79.649649}]",0,3,3,79.649649,84.537741,81.52085199999999,1001,1000495,1789762073,Ping,71.171.92.101,ping,240,1789762137
5080,2.6.2,26,193.0.14.129,4,193.0.14.129,10.100.0.16,ICMP,59.0,32,"[{'rtt': 12.134353}, {'rtt': 12.185992}, {'rtt': 12.123557}]",0,3,3,12.123557,12.185992,12.147967333333334,1001,1000515,1789762060,Ping,161.129.155.179,ping,240,1789762105
5080,2.6.3,26,193.0.14.129,4,193.0.14.129,78.141.76.187,ICMP,60.0,32,"[{'rtt': 4.068977}, {'rtt': 3.93136}, {'rtt': 3.985014}]",0,3,3,3.93136,4.068977,3.995117,1001,1000555,1789762033,Ping,78.141.76.187,ping,240,1789762085
5040,2.4.0,48771991,193.0.14.129,4,193.0.14.129,185.248.199.254,ICMP,52.0,32,"[{'rtt': 40.071366}, {'rtt': 40.177847}, {'rtt': 40.178818}]",0,3,3,40.071366,40.178818,40.142677,1001,1000630,1789762065,Ping,185.248.199.254,ping,240,1789762092
5130,2.6.4,38,193.0.14.129,4,193.0.14.129,10.0.1.3,ICMP,59.0,32,"[{'rtt': 13.96656}, {'rtt': 15.42923}, {'rtt': 15.02251}]",0,3,3,13.96656,15.42923,14.8061,1001,1000654,1789762041,Ping,195.16.229.185,ping,240,1789762119
5080,2.6.2,41,193.0.14.129,4,193.0.14.129,136.144.222.137,ICMP,58.0,32,"[{'rtt': 3.225485}, {'rtt': 3.298392}, {'rtt': 3.28186}]",0,3,3,3.225485,3.298392,3.2685790000000003,1001,1000679,1789762066,Ping,136.144.222.137,ping,240,1789762140
5130,2.6.4,23,193.0.14.129,4,193.0.14.129,192.168.199.18,ICMP,58.0,32,"[{'rtt': 9.816064}, {'rtt': 8.885919}, {'rtt': 8.984769}]",0,3,3,8.885919,9.816064,9.228917333333333,1001,1000694,1789762053,Ping,87.79.65.2,ping,240,1789762101
5080,2.6.2,70,193.0.14.129,4,193.0.14.129,192.168.179.2,ICMP,57.0,20,"[{'rtt': 8.052812}, {'rtt': 8.216808}, {'rtt': 24.513428}]",0,3,3,8.052812,24.513428,13.594349333333334,1001,1000695,1789762044,Ping,88.97.99.185,ping,240,1789762103
5130,2.6.4,42,193.0.14.129,4,193.0.14.129,10.0.1.95,ICMP,52.0,32,"[{'rtt': 187.884935}, {'rtt': 187.961065}, {'rtt': 187.878614}]",0,3,3,187.878614,187.961065,187.90820466666665,1001,1000709,1789762039,Ping,56.124.19.31,ping,240,1789762121
5130,2.6.4,59,193.0.14.129,4,193.0.14.129,192.168.0.210,ICMP,58.0,32,"[{'rtt': 17.152638}, {'rtt': 10.934547}, {'rtt': 11.083399}]",0,3,3,10.934547,17.152638,13.056861333333332,1001,1000714,1789762050,Ping,5.231.163.6,ping,240,1789762120
5080,2.6.2,19,193.0.14.129,4,193.0.14.129,10.0.2.2,ICMP,60.0,32,"[{'rtt': 10.500006}, {'rtt': 10.504889}, {'rtt': 10.6025}]",0,3,3,10.500006,10.6025,10.535798333333334,1001,1000725,1789762033,Ping,217.169.20.55,ping,240,1789762117
5130,2.6.4,43,193.0.14.129,4,193.0.14.129,192.168.2.3,ICMP,59.0,32,"[{'rtt': 15.578056}, {'rtt': 15.039918}, {'rtt': 15.146078}]",0,3,3,15.039918,15.578056,15.254684,1001,1000730,1789762045,Ping,79.216.175.146,ping,240,1789762197
5110,2.6.4,36,193.0.14.129,4,193.0.14.129,192.168.61.17,ICMP,51.0,32,"[{'rtt': 142.366572}, {'rtt': 143.425321}, {'rtt': 142.304855}]",0,3,3,142.304855,143.425321,142.69891599999997,1001,1000731,1789762053,Ping,190.67.122.102,ping,240,1789762079
5080,2.6.2,52,193.0.14.129,4,193.0.14.129,23.157.112.122,ICMP,59.0,32,"[{'rtt': 8.266868}, {'rtt': 8.369311}, {'rtt': 8.403671}]",0,3,3,8.266868,8.403671,8.346616666666666,1001,1000748,1789762079,Ping,23.157.112.122,ping,240,1789762092
5020,2.2.1,4,193.0.14.129,4,193.0.14.129,172.30.114.91,ICMP,50.0,32,"[{'rtt': 73.732734}, {'rtt': 73.798531}, {'rtt': 73.679213}]",0,3,3,73.679213,73.798531,73.736826,1001,1000755,1789762031,Ping,201.163.18.82,ping,240,1789762094
5130,2.6.4,67,193.0.14.129,4,193.0.14.129,192.168.1.5,ICMP,55.0,32,"[{'rtt': 42.34281}, {'rtt': 43.037642}, {'rtt': 57.637157}]",0,3,3,42.34281,57.637157,47.67253633333333,1001,1000764,1789762051,Ping,90.14.190.103,ping,240,1789762107
5020,2.2.1,24,193.0.14.129,4,193.0.14.129,192.168.1.102,ICMP,59.0,20,"[{'rtt': 23.203281}, {'rtt': 23.25474}, {'rtt': 23.231875}]",0,3,3,23.203281,23.25474,23.229965333333336,1001,1000795,1789762042,Ping,88.170.75.240,ping,240,1789762144
5080,2.6.3,35,193.0.14.129,4,193.0.14.129,10.24.14.218,ICMP,57.0,32,"[{'rtt': 13.542913}, {'rtt': 11.785303}, {'rtt': 12.126776}]",0,3,3,11.785303,13.542913,12.484997333333334,1001,1000812,1789762064,Ping,109.164.54.204,ping,240,1789762090
5080,2.6.3,23,193.0.14.129,4,193.0.14.129,109.190.81.81,ICMP,49.0,32,"[{'rtt': 305.702916}, {'rtt': 305.665934}, {'rtt': 305.735009}]",0,3,3,305.665934,305.735009,305.70128633333337,1001,1000813,1789762052,Ping,109.190.81.81,ping,240,1789762093
5120,2.6.4,224697,193.0.14.129,4,193.0.14.129,172.17.0.234,ICMP,60.0,32,"[{'rtt': 65.123118}, {'rtt': 65.031573}, {'rtt': 65.106317}]",0,3,3,65.031573,65.123118,65.08700266666666,1001,1000852,1789762073,Ping,139.100.205.56,ping,240,1789762189
5040,2.4.1,54,193.0.14.129,4,193.0.14.129,192.168.1.245,ICMP,53.0,20,"[{'rtt': 21.695223}, {'rtt': 3.000737}, {'rtt': 4.032205}]",0,3,3,3.000737,21.695223,9.576055,1001,1000905,1789762061,Ping,81.193.74.155,ping,240,1789762120
5080,2.6.3,20,193.0.14.129,4,193.0.14.129,51.171.168.117,ICMP,54.0,32,"[{'rtt': 49.004748}, {'rtt': 49.760919}, {'rtt': 49.61358}]",0,3,3,49.004748,49.760919,49.45974900000001,1001,1000929,1789762047,Ping,51.171.168.117,ping,240,1789762096
5130,2.6.4,53,193.0.14.129,4,193.0.14.129,192.168.1.121,ICMP,56.0,32,"[{'rtt': 18.936608}, {'rtt': 19.383805}, {'rtt': 19.098007}]",0,3,3,18.936608,19.383805,19.13947333333333,1001,1000969,1789762057,Ping,80.72.127.161,ping,240,1789762133
5130,2.6.4,57,193.0.14.129,4,193.0.14.129,45.159.51.5,ICMP,57.0,32,"[{'rtt': 8.330278}, {'rtt': 5.066625}, {'rtt': 1.05729}]",0,3,3,1.05729,8.330278,4.818064333333333,1001,1000986,1789762075,Ping,45.159.51.5,ping,240,1789762141
5120,2.6.4,9,193.0.14.129,4,193.0.14.129,172.16.72.100,ICMP,51.0,20,"[{'rtt': 274.136334}, {'rtt': 273.821952}, {'rtt': 276.060916}]",0,3,3,273.821952,276.060916,274.67306733333334,1001,1000988,1789762042,Ping,204.19.202.45,ping,240,1789762098
5120,2.6.4,3,193.0.14.129,4,193.0.14.129,10.10.0.16,ICMP,60.0,32,"[{'rtt': 12.718187}, {'rtt': 24.325217}, {'rtt': 11.617995}]",0,3,3,11.617995,24.325217,16.22046633333333,1001,1001084,1789762074,Ping,81.217.7.18,ping,240,1789762118
5130,2.6.4,53,193.0.14.129,4,193.0.14.129,10.88.0.2,ICMP,63.0,32,"[{'rtt': 0.166624}, {'rtt': 1.02799}, {'rtt': 0.974449}]",0,3,3,0.166624,1.02799,0.723021,1001,1001116,1789762040,Ping,45.137.101.42,ping,240,1789762105
5080,2.6.2,57,193.0.14.129,4,193.0.14.129,192.168.0.150,ICMP,58.0,20,"[{'rtt': 14.069702}, {'rtt': 10.472199}, {'rtt': 8.903315}]",0,3,3,8.903315,14.069702,11.148405333333335,1001,1001131,1789762050,Ping,91.66.96.139,ping,240,1789762111
5080,2.6.2,12,193.0.14.129,4,193.0.14.129,91.206.3.9,ICMP,62.0,32,"[{'rtt': 31.281897}, {'rtt': 31.304396}, {'rtt': 31.278263}]",0,3,3,31.278263,31.304396,31.28818533333333,1001,1001139,1789762071,Ping,91.206.3.9,ping,240,1789762126
5080,2.4.0,22,193.0.14.129,4,193.0.14.129,192.168.20.8,ICMP,54.0,20,"[{'rtt': 154.891061}, {'rtt': 154.587073}, {'rtt': 154.493077}]",0,3,3,154.493077,154.891061,154.65707033333334,1001,1001181,1789762066,Ping,70.134.61.176,ping,240,1789762105
5040,2.4.1,45,193.0.14.129,4,193.0.14.129,192.168.1.221,ICMP,58.0,32,"[{'rtt': 85.130975}, {'rtt': 84.608627}, {'rtt': 84.646849}]",0,3,3,84.608627,85.130975,84.79548366666667,1001,1001204,1789762059,Ping,100.36.159.156,ping,240,1789762118
5080,2.2.1,5,193.0.14.129,4,193.0.14.129,192.168.1.106,ICMP,52.0,20,"[{'rtt': 9.7925}, {'rtt': 9.71375}, {'rtt': 9.8475}]",0,3,3,9.71375,9.8475,9.784583333333334,1001,1001216,1789762032,Ping,135.180.24.187,ping,240,1789762144
